input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###aalgoya###,aaloola,aaltola,0.163044,aaltola,0.163044,0,0
###aimulha###,aimulha,aamulla,0.021922,aamulla,0.021922,0,0
###lamusga###,lamumua,aamusta,0.041707,aamusta,0.041707,0,0
###rfrikrn###,rorikan,ranskan,0.004136,afrikan,0.003291,0,0
###uidosbi###,usdoksi,uudeksi,0.025343,aidosti,0.012996,0,0
###aselman###,asemman,asemaan,0.139755,aiemman,0.135795,0,0
###äiekmat###,aikkmit,tekemät,0.059089,aiemmat,0.011002,0,0
###amdmmin###,aammmin,aiemmin,0.623224,aiemmin,0.623224,0,0
###aiimbaa###,aiimana,arimpia,0.006329,aiempaa,0.003862,0,0
###aidmpma###,aidmmma,aikamme,0.011025,aiempia,0.000543,0,0
###ägheena###,ääheena,aiheena,0.045381,aiheena,0.045381,0,0
###aivlina###,ailvina,aiheina,0.079557,aiheina,0.079557,0,0
###aideiia###,aideiia,aineita,0.023764,aiheita,0.004632,0,0
###aihögta###,aihahta,aiheita,0.046940,aihetta,0.015998,0,0
###atjeuta###,ajjeuta,arjesta,0.201584,aiheuta,0.026484,0,0
###aikasfe###,askaase,aikamme,0.063501,aikamme,0.063501,0,0
###aiiausa###,aiiaasa,asiassa,0.011045,aikansa,0.007455,0,0
###aäkodna###,asdodna,ainoana,0.076288,aikoina,0.046797,0,0
###anöojen###,asnojen,aikojen,0.109983,aikojen,0.109983,0,0
###ahkooat###,aaaotot,avaimet,0.005474,aikovat,0.000680,0,0
###aietkin###,aietkin,ainakin,0.038088,ainakin,0.038088,0,0
###aijeiga###,aijeija,aineita,0.028748,aineita,0.028748,0,0
###aineloa###,ainella,monella,0.010663,ainetta,0.000479,0,0
###abboana###,astoada,ainoana,0.010840,ainoana,0.010840,0,0
###airraan###,airraan,aiotaan,0.016900,aiotaan,0.016900,0,0
###fivojnn###,finnoin,huonoon,0.008269,aivojen,0.000616,0,0
###ajavapn###,aaaaaan,ajamaan,0.013150,ajamaan,0.013150,0,0
###ajeupan###,apeptan,ajetaan,0.015659,ajetaan,0.015659,0,0
###amomlta###,alootta,aloilta,0.018408,ajoilta,0.000420,0,0
###ajfisla###,ajmilla,ajoilta,0.007982,ajoissa,0.006860,0,0
###öjoisya###,yööitia,avoimia,0.001949,ajoista,0.000047,0,0
###vkbelin###,veleiin,valmiin,0.010580,akselin,0.000151,0,0
###akuötni###,akuutii,akuutti,0.573829,akuutti,0.573829,0,0
###alslnen###,aalanen,salonen,0.008475,alainen,0.000487,0,0
###albmaan###,allmaan,olemaan,0.009809,alataan,0.002626,0,0
###rlasalo###,rarsalo,rauhala,0.010854,alatalo,0.000141,0,0
###jgeksis###,jesesis,jäseniä,0.171698,aleksis,0.000176,0,0
###alenhrs###,alersus,aleksis,0.027159,alennus,0.003869,0,0
###adentfa###,adennta,ideasta,0.002752,alentaa,0.000597,0,0
###jletabn###,jelaajn,pelaaja,0.013332,aletaan,0.000003,0,0
###alkhdsi###,aldaksi,alkaisi,0.141416,alkaisi,0.141416,0,0
###aleangt###,alaanat,alkanut,0.337453,alkanut,0.337453,0,0
###uekavan###,uukavan,mukavan,0.169811,alkavan,0.023044,0,0
###alkastt###,alkastt,alkavat,0.026898,alkavat,0.026898,0,0
###alöunja###,aajunja,ohjaaja,0.003829,alkunsa,0.002920,0,0
###aloölpa###,aloppla,aloilla,0.023463,aloilla,0.023463,0,0
###adonlle###,asnolle,ehdolle,0.018343,aloille,0.014387,0,0
###afoigta###,avoimta,avointa,0.236782,aloilta,0.007070,0,0
###anomtin###,anomtin,aloitin,0.343655,aloitin,0.343655,0,0
###afoiiti###,avoiiti,aloitti,0.055312,aloitti,0.055312,0,0
###öläitus###,möistus,ehdotus,0.008237,aloitus,0.003303,0,0
###asuekta###,asuatta,asettua,0.018463,alueita,0.002370,0,0
###ipuetta###,ipuutta,osuutta,0.015337,aluetta,0.001522,0,0
###aluktyn###,allkaun,aluksen,0.075444,aluksen,0.075444,0,0
###amgdtin###,aamtdin,aloitin,0.012439,ammatin,0.002814,0,0
###ahmatii###,ahmatii,ammatti,0.067904,ammatti,0.067904,0,0
###kleista###,keeista,kelasta,0.029576,aneista,0.000172,0,0
###annyjme###,annumme,annamme,0.286672,annamme,0.286672,0,0
