input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
####pouv#####,poupovu,convive,0.084947,pouvoir,0.012465,0,0
####voul#####,vouvoll,vouloir,0.225240,vouloir,0.225240,0,0
####pren#####,preppnn,pourpre,0.023879,prendre,0.000061,0,0
####fall#####,flalaal,flirter,0.038248,falloir,0.001681,0,0
####trou#####,trotuoo,trotter,0.502181,trouver,0.008564,0,0
####lais#####,laileas,taillis,0.011517,laisser,0.002562,0,0
####arri#####,aariiri,affaire,0.006410,arriver,0.000012,0,0
####prem#####,plmmpmn,palmier,0.038416,premier,0.020108,0,0
####semb#####,sombems,tombeau,0.040214,sembler,0.006734,0,0
####quel#####,qlulqul,quelque,0.383399,quelque,0.383399,0,0
####deve#####,dedeere,demeure,0.015143,devenir,0.002586,0,0
####reve#####,revevve,revivre,0.025040,revenir,0.000187,0,0
####pres#####,prpsprs,prostré,0.029907,presque,0.004079,0,0
####appe#####,apppppe,frapper,0.059063,appeler,0.000978,0,0
####arrê#####,arxêarr,brocart,0.003552,arrêter,0.000036,0,0
####pend#####,penpedd,peupler,0.292074,pendant,0.003953,0,0
####cham#####,chamhan,chambre,0.044730,chambre,0.044730,0,0
####dern#####,deerdnn,décrire,0.026659,dernier,0.000838,0,0
####asse#####,assssse,analyse,0.002967,asseoir,0.000034,0,0
####tour#####,toutouo,toucher,0.014457,tourner,0.013031,0,0
####inst#####,iniiint,inquiet,0.006152,instant,0.000584,0,0
####marc#####,marraal,morceau,0.003679,marcher,0.000521,0,0
####sile#####,sislils,positif,0.000750,silence,0.000039,0,0
####quit#####,qoqquut,troquet,0.035806,quitter,0.000608,0,0
####écou#####,éoocéué,éloigné,0.015085,écouter,0.001485,0,0
####essa#####,eesaaas,matelas,0.011383,essayer,0.000093,0,0
####nouv#####,nouvovu,nouveau,0.238810,nouveau,0.238810,0,0
####surt#####,sussurt,sursaut,0.049961,surtout,0.021328,0,0
####pous#####,pouporn,peupler,0.039542,pousser,0.004769,0,0
####parf#####,panpard,pimpant,0.014764,parfois,0.001224,0,0
