input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###pouçnir###,pouprir,pourrir,0.038314,pouvoir,0.033451,0,0
###vouîyir###,vouioir,vouloir,0.232830,vouloir,0.232830,0,0
###preosre###,preesre,prendre,0.006574,prendre,0.006574,0,0
###falhjir###,falloir,falloir,0.781245,falloir,0.781245,0,1
###trogâer###,trogter,troquer,0.016111,trouver,0.005547,0,0
###laiâder###,laiieer,laisser,0.110708,laisser,0.110708,1,0
###arrmxer###,arrméer,arrêter,0.038808,arriver,0.020123,0,0
###preaïer###,preeeer,presser,0.052467,premier,0.020190,0,0
###semuïer###,semmuer,sembler,0.101905,sembler,0.101905,0,0
###queibue###,qubique,quelque,0.048294,quelque,0.048294,0,0
###devwhir###,devhhir,devenir,0.093916,devenir,0.093916,0,0
###revüïir###,revveir,retenir,0.028731,revenir,0.009991,0,0
###preâkue###,preueue,presque,0.011681,presque,0.011681,0,0
###appüher###,amppher,amputer,0.025745,appeler,0.000548,0,0
###arrumer###,arrumer,arrimer,0.459887,arrêter,0.004201,0,0
###penâont###,pensont,pensant,0.011420,pendant,0.007558,0,0
###chapgre###,chapgre,chapeau,0.018351,chambre,0.008541,0,0
###derçcer###,derêcer,dernier,0.070935,dernier,0.070935,0,0
###assûjir###,abssrir,asseoir,0.007097,asseoir,0.007097,0,0
###touller###,touller,tailler,0.041070,tourner,0.010457,0,0
###insfynt###,inntant,instant,0.052397,instant,0.052397,0,0
###margler###,margler,morfler,0.021076,marcher,0.017496,0,0
###silâzce###,silâice,silence,0.053528,silence,0.053528,0,0
###quiêfer###,quilter,cuiller,0.092355,quitter,0.006287,1,0
###écoïôer###,écoïter,égorger,0.036071,écouter,0.010559,0,0
###essüwer###,esssser,estimer,0.011880,essayer,0.001705,0,0
###noukxau###,nouaeau,nouveau,0.380535,nouveau,0.380535,0,0
###surwmut###,surutut,surtout,0.175461,surtout,0.175461,0,0
###poucyer###,poucyer,pousser,0.024099,pousser,0.024099,1,0
###parwîis###,parpiis,paradis,0.102131,parfois,0.052470,0,0
###oubgâer###,ouugfer,oublier,0.008267,oublier,0.008267,0,0
###souflnt###,souglnt,souvent,0.090708,souvent,0.090708,0,0
###voiwhre###,voiiore,voiture,0.132393,voiture,0.132393,0,0
###fenàyre###,fentyre,fenêtre,0.010429,fenêtre,0.010429,0,0
###renjôer###,rennyer,renouer,0.092025,rentrer,0.035891,0,0
###monwjer###,monfoer,confier,0.055373,montrer,0.024925,0,0
###famwéle###,famfble,famille,0.305689,famille,0.305689,0,0
