input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###ylnkmkf###,eyyfômf,parfumé,0.064973,,,0,0
###jsaçèhb###,sanbbpu,bourbon,0.014501,,,0,0
###ïkêçtêf###,ftufêtt,parfait,0.018780,,,0,0
###qkuteôx###,quqtqex,terreux,0.044951,,,0,0
###cnuvetg###,cevvent,couvent,0.245614,,,0,0
###pjêsrûr###,pêêsrir,pourrir,0.093326,,,0,0
###mfüêjju###,jujjêou,déjouer,0.061704,,,0,0
###émiéîqî###,éqmridé,élément,0.005800,,,0,0
###oôpfiqu###,opqquux,orateur,0.013164,,,0,0
###ôozntze###,zozegte,zézette,0.450869,,,0,0
###éxuqlüâ###,éléquul,éduquer,0.035541,,,0,0
###vpxcdçu###,viaduuu,vendeur,0.019316,,,0,0
###ççfcfuà###,fffrfvu,truffer,0.058183,,,0,0
###yôêüïàz###,oyyryèo,paysage,0.009954,,,0,0
###ostxsjv###,olovsot,opposer,0.080660,,,0,0
###ebqôaàz###,eeeaqas,blesser,0.011683,,,0,0
###zsrçyxu###,zyaseuu,sursaut,0.050166,,,0,0
###azbéèek###,abzeèze,absence,0.002468,,,0,0
###oiïnçil###,onilili,oeillet,0.022969,,,0,0
###dhfdpbû###,dhâphpu,drapeau,0.078112,,,0,0
###êdlvtgl###,dlvgrgt,daigner,0.043424,,,0,0
###hjîfïêï###,hhâhêod,honnête,0.032100,,,0,0
###tqèèyàj###,qyntèèt,mystère,0.135647,,,0,0
###vfmïjli###,famviii,falaise,0.044693,,,0,0
###çvsoipg###,oosragg,losange,0.022743,,,0,0
###tprèemn###,tèrmrnn,tartine,0.035063,,,0,0
###yüévèjc###,jjycopé,douceur,0.015089,,,0,0
###lkmoaor###,lororor,ligoter,0.006003,,,0,0
###tépvqps###,ttéppps,stopper,0.244429,,,0,0
###éûsbpwü###,écbabpn,échoppe,0.061842,,,0,0
###soxoîzv###,soovvvs,convive,0.064511,,,0,0
###efwççwç###,efeeçon,médecin,0.005658,,,0,0
###éüàpcgk###,épégggg,éponger,0.337645,,,0,0
###ïbtôexm###,gâglemx,rugueux,0.005574,,,0,0
###nwjhïnï###,jhnnhon,honneur,0.289587,,,0,0
