input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
######pouvoir,pouvoir,pouvoir,0.956115,pouvoir,0.956115,0,1
#####pouvoir#,pouvoir,pouvoir,0.953254,pouvoir,0.953254,0,1
####pouvoir##,pouvoir,pouvoir,0.955682,pouvoir,0.955682,0,1
###pouvoir###,pouvoir,pouvoir,0.954624,pouvoir,0.954624,0,1
##pouvoir####,pouvoir,pouvoir,0.954996,pouvoir,0.954996,0,1
#pouvoir#####,pouvoir,pouvoir,0.955763,pouvoir,0.955763,0,1
pouvoir######,pouvoir,pouvoir,0.955184,pouvoir,0.955184,0,1
######vouloir,vouloir,vouloir,0.967896,vouloir,0.967896,0,1
#####vouloir#,vouloir,vouloir,0.967815,vouloir,0.967815,0,1
####vouloir##,vouloir,vouloir,0.967527,vouloir,0.967527,0,1
###vouloir###,vouloir,vouloir,0.966861,vouloir,0.966861,0,1
##vouloir####,vouloir,vouloir,0.967512,vouloir,0.967512,0,1
#vouloir#####,vouloir,vouloir,0.967434,vouloir,0.967434,0,1
vouloir######,vouloir,vouloir,0.967386,vouloir,0.967386,0,1
######prendre,prendre,prendre,0.970701,prendre,0.970701,0,1
#####prendre#,prendre,prendre,0.971438,prendre,0.971438,0,1
####prendre##,prendre,prendre,0.969815,prendre,0.969815,0,1
###prendre###,prendre,prendre,0.970397,prendre,0.970397,0,1
##prendre####,prendre,prendre,0.970824,prendre,0.970824,0,1
#prendre#####,prendre,prendre,0.970302,prendre,0.970302,0,1
prendre######,prendre,prendre,0.968451,prendre,0.968451,0,1
######falloir,falloir,falloir,0.975872,falloir,0.975872,0,1
#####falloir#,falloir,falloir,0.979280,falloir,0.979280,0,1
####falloir##,falloir,falloir,0.977795,falloir,0.977795,0,1
###falloir###,falloir,falloir,0.978678,falloir,0.978678,0,1
##falloir####,falloir,falloir,0.978131,falloir,0.978131,0,1
#falloir#####,falloir,falloir,0.979510,falloir,0.979510,0,1
falloir######,falloir,falloir,0.977737,falloir,0.977737,0,1
######trouver,trouver,trouver,0.962017,trouver,0.962017,0,1
#####trouver#,trouver,trouver,0.955515,trouver,0.955515,0,1
####trouver##,trouver,trouver,0.959917,trouver,0.959917,0,1
###trouver###,trouver,trouver,0.963550,trouver,0.963550,0,1
##trouver####,trouver,trouver,0.961526,trouver,0.961526,0,1
#trouver#####,trouver,trouver,0.963203,trouver,0.963203,0,1
trouver######,trouver,trouver,0.962665,trouver,0.962665,0,1
######laisser,laisser,laisser,0.961611,laisser,0.961611,0,1
#####laisser#,laisser,laisser,0.961801,laisser,0.961801,0,1
