input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###pouoomr###,pouooor,pouvoir,0.135948,pouvoir,0.135948,0,0
###vlulofr###,vluloor,vouloir,0.075174,vouloir,0.075174,0,0
###paendte###,peendte,peindre,0.021122,prendre,0.000378,0,0
###falhobr###,falboor,falloir,0.454327,falloir,0.454327,0,0
###téouïer###,ttoouer,étoiler,0.013579,trouver,0.001832,0,0
###lagssïr###,lassser,laisser,0.037125,laisser,0.037125,0,0
###arwivlr###,arivvir,arriver,0.050317,arriver,0.050317,0,0
###zrümier###,dizmier,premier,0.349432,premier,0.349432,0,0
###wemblor###,memblor,sembler,0.106259,sembler,0.106259,0,0
###huvlque###,huulque,huileux,0.042772,quelque,0.006451,0,0
###dkveïir###,ddeseir,dresser,0.025970,devenir,0.000638,0,0
###resennr###,resener,revenir,0.026809,revenir,0.026809,0,0
###ïresjue###,reusure,censure,0.011751,presque,0.000008,0,0
###aîpelwr###,alaeler,amarrer,0.008868,appeler,0.002544,0,0
###airêîer###,aariter,aligner,0.001692,arrêter,0.001612,0,0
###peqdônt###,peupint,peureux,0.017299,pendant,0.006038,0,0
###ckamgre###,clamgee,chambre,0.002179,chambre,0.002179,0,0
###deünipr###,deipper,devenir,0.019150,dernier,0.013490,0,0
###aâsvoir###,asvioir,asseoir,0.015028,asseoir,0.015028,0,0
###zouwner###,zongrer,jongler,0.007582,tourner,0.000127,0,0
###ixètant###,irétant,instant,0.009265,instant,0.009265,0,0
###mdecher###,memcher,moucher,0.246424,marcher,0.078880,0,0
###siéénce###,sééénce,semence,0.014081,silence,0.006554,0,0
###guittwr###,guitter,gigoter,0.079322,quitter,0.003573,0,0
###écoütàr###,écouter,écouter,0.288389,écouter,0.288389,0,0
###essûçer###,essesee,espérer,0.018743,essayer,0.012915,0,0
###nuuteau###,nuuteau,nouveau,0.074443,nouveau,0.074443,0,0
###sujtoxt###,suéttut,surtout,0.131126,surtout,0.131126,0,0
###soussbr###,sousser,tousser,0.043902,pousser,0.030665,0,0
###âarfçis###,harriis,marquis,0.027655,parfois,0.014721,0,0
###oubtiur###,outtiur,orateur,0.053047,oublier,0.017459,0,0
###souzewt###,sosoeut,songeur,0.022196,souvent,0.013944,0,0
###boituâe###,boitude,boiteux,0.041094,voiture,0.014519,0,0
###fenetke###,fenetxe,finesse,0.011575,fenêtre,0.006328,0,0
###rôntror###,rnrtror,rentrer,0.044129,rentrer,0.044129,0,0
###mdnlrer###,munfrer,montrer,0.236654,montrer,0.236654,0,0
###damilre###,damilre,famille,0.021422,famille,0.021422,0,0
