input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###aalotla###,aalolla,talolla,0.519248,aaltola,0.067091,0,0
###aamlula###,aammula,aaltola,0.029980,aamulla,0.009175,0,0
###aamsuta###,aaamuta,aamusta,0.018315,aamusta,0.018315,0,0
###afrkian###,aarkian,afrikan,0.045662,afrikan,0.045662,0,0
###aidsoti###,aidotti,aidosti,0.051065,aidosti,0.051065,0,0
###aiemman###,aiemman,aiemman,0.933053,aiemman,0.933053,1,1
###aiemmat###,aiemmat,aiemmat,0.961751,aiemmat,0.961751,1,1
###aiemmin###,aiemmin,aiemmin,0.956729,aiemmin,0.956729,1,1
###aiepmaa###,aiemmaa,aiempaa,0.077245,aiempaa,0.077245,0,0
###aiepmia###,aiempia,aiempia,0.160147,aiempia,0.160147,0,0
###aiheena###,aiheena,aiheena,0.963222,aiheena,0.963222,1,1
###aihiena###,aiheena,aiheena,0.701062,aiheina,0.061938,0,0
###aihieta###,aiheita,aiheita,0.215759,aiheita,0.215759,0,0
###aihteta###,aihttta,aihetta,0.517956,aihetta,0.517956,0,1
###aihueta###,aiheuta,aiheuta,0.921817,aiheuta,0.921817,0,1
###aikmame###,aikkame,aikamme,0.735205,aikamme,0.735205,0,1
###aiknasa###,aiknasa,aikansa,0.025781,aikansa,0.025781,0,0
###aikiona###,aikiona,aikoina,0.189384,aikoina,0.189384,0,0
###aikjoen###,aikkjen,aikojen,0.459519,aikojen,0.459519,0,0
###aikvoat###,aikkvat,aikovat,0.234038,aikovat,0.234038,0,0
###ainkain###,ainkkin,ainakin,0.050099,ainakin,0.050099,0,0
###ainieta###,ainieta,ainetta,0.002504,aineita,0.001231,0,0
###ainteta###,ainteta,ainetta,0.033815,ainetta,0.033815,0,0
###ainaona###,ainnona,ainoana,0.228534,ainoana,0.228534,0,0
###aioatan###,aioatan,aiotaan,0.575745,aiotaan,0.575745,0,1
###aivjoen###,aivooen,aikojen,0.093931,aivojen,0.060723,0,0
###ajaaman###,ajaalan,ajamaan,0.369429,ajamaan,0.369429,0,0
###ajeatan###,ajeatan,ajetaan,0.133139,ajetaan,0.133139,0,0
###ajolita###,ajooita,ajoista,0.083832,ajoilta,0.034607,0,0
###ajosisa###,ajooisa,ajoissa,0.236181,ajoissa,0.236181,0,0
###ajosita###,ajooita,ajoista,0.286653,ajoista,0.286653,0,0
###akslein###,aasklin,akselin,0.033289,akselin,0.033289,0,0
###akututi###,aauttti,akuutti,0.046167,akuutti,0.046167,0,0
###alanien###,alanien,eliniän,0.010535,alainen,0.006399,0,0
###alaatan###,alaaaan,alataan,0.420816,alataan,0.420816,0,0
###alaatlo###,alaalto,alatalo,0.175888,alatalo,0.175888,0,0
###aleskis###,aleskis,aleksis,0.053478,aleksis,0.053478,0,0
###alennus###,alennus,alennus,0.959778,alennus,0.959778,1,1
###aletnaa###,alettaa,alentaa,0.473170,alentaa,0.473170,0,0
###aleatan###,aleatan,alentaa,0.029641,aletaan,0.024141,0,0
###alkiasi###,alkiisi,alkaisi,0.849488,alkaisi,0.849488,0,1
###alknaut###,alkkaut,alkanut,0.003848,alkanut,0.003848,0,0
###alkvaan###,alkvaan,aletaan,0.077182,alkavan,0.023558,0,0
###alkvaat###,allkaat,alkavat,0.165101,alkavat,0.165101,0,0
###alknusa###,alknnsa,alkunsa,0.585909,alkunsa,0.585909,0,1
###alolila###,alooila,aloilla,0.578391,aloilla,0.578391,0,1
###alolile###,aloklle,aloille,0.575762,aloille,0.575762,0,1
###alolita###,alooita,aloilta,0.066137,aloilta,0.066137,0,0
###alotiin###,alotiin,aloitin,0.029210,aloitin,0.029210,0,0
###alotiti###,alotiti,aloitti,0.265520,aloitti,0.265520,0,0
###alotius###,alotius,aloitus,0.564160,aloitus,0.564160,0,1
###aluieta###,aluiita,aloilta,0.082935,alueita,0.027830,0,0
###aluteta###,aluetta,aluetta,0.140005,aluetta,0.140005,0,0
###alusken###,aluksen,aluksen,0.819609,aluksen,0.819609,0,1
###ammtain###,aamtain,ammatin,0.023698,ammatin,0.023698,0,0
###ammtati###,aamtati,ammatti,0.050923,ammatti,0.050923,0,0
###anesita###,aneeita,aiheita,0.027860,aneista,0.017507,0,0
###annmame###,annmmme,annamme,0.319575,annamme,0.319575,0,0
###anntetu###,anneitu,annettu,0.269423,annettu,0.269423,0,0
###annteun###,annteun,annetun,0.662091,annetun,0.662091,0,1
###annteut###,annttut,annetut,0.535434,annetut,0.535434,0,1
###anniina###,anniina,anniina,0.977539,anniina,0.977539,1,1
###annkiki###,annkiki,annikki,0.572409,annikki,0.572409,0,1
###annsota###,annosta,annosta,0.722973,annosta,0.722973,0,1
###annkuka###,annkkka,annukka,0.093515,annukka,0.093515,0,0
###antiasi###,antiisi,antaisi,0.846830,antaisi,0.846830,0,1
###antmaaa###,antamaa,antamaa,0.177205,antamaa,0.177205,0,0
###antmaan###,antaman,antaman,0.204157,antaman,0.204157,0,0
###antmaat###,antamat,antamat,0.137996,antamat,0.137996,0,0
###antnaut###,antnnut,antanut,0.472800,antanut,0.472800,0,0
###antvaat###,antvvat,antavat,0.840678,antavat,0.840678,0,1
###antitla###,antilla,anttila,0.099219,anttila,0.099219,0,0
###apuarha###,apuaaha,apuraha,0.920721,apuraha,0.920721,0,1
###aripmia###,arimpia,arimpia,0.833600,arimpia,0.833600,0,1
###arjsesa###,arjsssa,arvosta,0.021076,arjessa,0.006584,0,0
